City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Tuatapere,-46.1333,167.6833,34.32,91,9,3.67,NZ,2022-08-11 12:08:46,clear sky
1,Ushuaia,-54.8,-68.3,33.46,93,75,2.3,AR,2022-08-11 12:05:31,broken clouds
2,Altamira,-3.2033,-52.2064,81.34,61,63,3.87,BR,2022-08-11 12:08:46,broken clouds
3,Tiksi,71.6872,128.8694,47.26,81,100,5.53,RU,2022-08-11 12:08:46,overcast clouds
4,Busselton,-33.65,115.3333,53.83,79,26,5.37,AU,2022-08-11 12:08:47,scattered clouds
5,Port Alfred,-33.5906,26.891,64.18,78,99,3.0,ZA,2022-08-11 12:08:47,overcast clouds
6,Mar Del Plata,-38.0023,-57.5575,46.09,92,75,11.5,AR,2022-08-11 12:07:25,broken clouds
7,Pevek,69.7008,170.3133,39.47,93,60,7.58,RU,2022-08-11 12:08:48,broken clouds
8,Hithadhoo,-0.6,73.0833,83.03,71,18,6.69,MV,2022-08-11 12:08:48,few clouds
9,East London,-33.0153,27.9116,68.7,68,98,4.61,ZA,2022-08-11 12:05:47,overcast clouds
10,Hobart,-42.8794,147.3294,53.46,87,75,12.66,AU,2022-08-11 12:08:48,broken clouds
11,Barrow,71.2906,-156.7887,44.62,93,100,21.85,US,2022-08-11 12:08:49,mist
12,Punta Arenas,-53.15,-70.9167,28.42,93,0,5.75,CL,2022-08-11 12:08:49,clear sky
13,Neuquen,-38.9516,-68.0591,43.12,64,0,7.63,AR,2022-08-11 12:06:21,clear sky
14,Aguada De Pasajeros,22.385,-80.8508,75.74,90,58,5.57,CU,2022-08-11 12:08:50,broken clouds
15,Jamestown,42.097,-79.2353,67.51,74,0,5.75,US,2022-08-11 12:08:50,clear sky
16,Los Llanos De Aridane,28.6585,-17.9182,73.15,85,40,10.36,ES,2022-08-11 12:08:50,scattered clouds
17,Mataura,-46.1927,168.8643,29.55,97,7,2.73,NZ,2022-08-11 12:08:51,clear sky
18,Tuktoyaktuk,69.4541,-133.0374,47.82,83,100,12.44,CA,2022-08-11 12:08:51,overcast clouds
19,Coahuayana,18.7333,-103.6833,76.62,86,100,3.29,MX,2022-08-11 12:08:51,overcast clouds
20,Andrews,32.3187,-102.5457,78.06,61,0,0.0,US,2022-08-11 12:05:44,clear sky
21,Port-Gentil,-0.7193,8.7815,75.83,79,89,14.2,GA,2022-08-11 12:08:52,overcast clouds
22,Albany,42.6001,-73.9662,66.85,88,86,3.49,US,2022-08-11 12:05:22,overcast clouds
23,Camacha,33.0833,-16.3333,71.02,68,20,12.66,PT,2022-08-11 12:08:52,few clouds
