City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Altamira,BR,81.34,broken clouds,-3.2033,-52.2064,Requinte Hotel
8,Hithadhoo,MV,83.03,few clouds,-0.6,73.0833,Scoop Guest House
14,Aguada De Pasajeros,CU,75.74,broken clouds,22.385,-80.8508,CASA MAMÁ
19,Coahuayana,MX,76.62,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
20,Andrews,US,78.06,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
21,Port-Gentil,GA,75.83,overcast clouds,-0.7193,8.7815,Fengshui Residence
27,Bonfim,BR,80.42,few clouds,3.0833,-59.95,
31,Sao Jose Da Coroa Grande,BR,76.87,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
34,Nikolskoye,RU,77.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
40,Katsuura,JP,80.94,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
43,Saint-Philippe,RE,75.22,broken clouds,-21.3585,55.7679,Le four à pain
44,Zvishavane,ZW,79.36,clear sky,-20.3267,30.0665,Hotel Boutique Runde
46,Kapaa,US,77.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
55,Lorengau,PG,81.0,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
60,Green Valley,US,76.44,overcast clouds,31.8543,-110.9937,Best Western Green Valley Inn
67,Touros,BR,81.61,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
69,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
70,Tonj,SS,75.51,overcast clouds,7.2737,28.6822,Lakan Hotel
76,Mocuba,MZ,84.58,clear sky,-16.8392,36.9856,Phama Lodge
77,Saint-Pierre,RE,75.29,clear sky,-21.3393,55.4781,Alize Plage
85,Esil,KZ,82.0,broken clouds,51.9556,66.4042,Egorkino Hotel
86,Victoria,HK,80.33,scattered clouds,22.2855,114.1577,Mini Central
87,Cockburn Town,TC,80.94,clear sky,21.4612,-71.1419,Osprey Beach Hotel
89,Kuah,MY,84.0,overcast clouds,6.3265,99.8432,Azio Hotel
91,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
92,Mumford,GH,76.82,overcast clouds,5.2618,-0.759,Spanish Villa
94,Kavieng,PG,81.41,broken clouds,-2.5744,150.7967,Nusa Island Retreat
97,Faanui,PF,78.12,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Wilmington,US,83.95,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
101,Greenville,US,77.16,clear sky,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
102,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
103,Hasaki,JP,82.8,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
104,Atuona,PF,76.82,clear sky,-9.8,-139.0333,Villa Enata
107,Alofi,NU,77.23,scattered clouds,-19.0595,-169.9187,Taloa Heights
109,Kieta,PG,78.66,light rain,-6.2167,155.6333,Uruna Bay Retreat
111,Matara,LK,81.84,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
114,Jingdezhen,CN,86.99,broken clouds,29.2947,117.2079,Garden Hotel
115,San Blas,MX,78.66,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
122,Visby,SE,79.05,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
128,Ponta Do Sol,PT,76.01,few clouds,32.6667,-17.1,Hotel do Campo
129,Port Blair,IN,82.26,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
130,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
138,Itaituba,BR,81.43,overcast clouds,-4.2761,-55.9836,Hotel Campos
140,Jiayuguan,CN,87.66,broken clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
145,Lata,PT,89.19,clear sky,40.1629,-8.3327,Casa Maquia
149,Bandarbeyla,SO,86.09,overcast clouds,9.4942,50.8122,JABIR HOTEL
150,Shingu,JP,79.14,light rain,33.7333,135.9833,Shingu UI Hotel
152,Estelle,US,75.2,overcast clouds,29.8458,-90.1067,Ohio
156,Takoradi,GH,78.67,overcast clouds,4.8845,-1.7554,Raybow International Hotel
159,Salinopolis,BR,81.57,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
161,Hengshui,CN,76.39,scattered clouds,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
162,Iracoubo,GF,78.62,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
164,Butaritari,KI,81.86,broken clouds,3.0707,172.7902,Isles Sunset Lodge
165,Diffa,NE,89.42,overcast clouds,13.3154,12.6113,ProDAF/Diffa
168,Kasempa,ZM,84.09,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
171,Ca Mau,VN,79.27,heavy intensity rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
173,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
176,Callaguip,PH,80.69,overcast clouds,18.0714,120.4867,Pangil Beach Resort
178,Nchelenge,ZM,80.28,few clouds,-9.3451,28.734,KD Travellers Home
179,Sabang,ID,83.16,overcast clouds,5.8933,95.3214,Hotel Citra
180,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
181,Myitkyina,MM,82.6,broken clouds,25.3833,97.4,Shwe Phyu Hotel
185,Asau,RO,76.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
189,Asifabad,IN,79.84,light rain,19.3667,79.2833,సిడం కైలాష్
196,Mayo,US,76.06,few clouds,38.8876,-76.5119,Resorts Resource Group International
197,Bo Rai,TH,81.73,heavy intensity rain,12.5728,102.5371,Baiboon Resort
209,Vavuniya,LK,89.28,broken clouds,8.7514,80.4971,Thampa Hotel
211,Dorchester,US,77.07,clear sky,33.1002,-80.3831,
214,Quelimane,MZ,80.47,clear sky,-17.8786,36.8883,Hotel Flamingo
216,Saint George,US,79.39,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
218,Usak,TR,84.18,few clouds,38.5,29.4167,Bekdemir Koyu Muhtarligi
222,Seoul,KR,76.39,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
225,Palmas,BR,80.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
227,Betioky,MG,85.91,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
229,Mastic Beach,US,76.28,broken clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
231,Harindanga,IN,79.02,overcast clouds,22.0383,88.3214,Hasanur Builders
234,Notodden,NO,87.51,clear sky,59.5594,9.2585,Brattrein Hotel
235,Mabay,PH,80.02,scattered clouds,6.0577,124.4666,Bautista Lodging House
237,Natal,BR,82.62,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
241,Sergeyevka,KZ,81.73,few clouds,53.88,67.4158,Amina
242,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
247,Veseloyarsk,RU,75.51,moderate rain,51.2836,81.1056,
249,North Myrtle Beach,US,81.01,clear sky,33.816,-78.68,Avista Resort
254,Veraval,IN,81.03,overcast clouds,20.9,70.3667,Lords Inn Somnath
260,Sainte-Suzanne,RE,75.85,overcast clouds,-20.9061,55.6089,Gites Ango
264,Luoyang,CN,82.99,overcast clouds,34.6836,112.4536,易家国际青年旅舍
267,Itupiranga,BR,82.72,scattered clouds,-5.1347,-49.3267,Hotel Panorama
268,Bengkulu,ID,79.66,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
270,Shimoda,JP,78.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
272,Piacabucu,BR,77.94,clear sky,-10.4056,-36.4344,Piaçabuçu News
275,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
276,Tambilil,PH,79.7,scattered clouds,5.9622,124.6697,Wilfredo Sotto Home
280,Kalabo,ZM,89.17,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
281,Praia,CV,88.34,few clouds,14.9215,-23.5087,LT Aparthotel
283,Grand-Lahou,CI,79.07,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
284,Angoche,MZ,79.86,scattered clouds,-16.2325,39.9086,Guest House HESADA
285,Xichang,CN,75.06,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
287,Rokupr,SL,75.69,moderate rain,8.6717,-12.395,
288,Beloha,MG,84.6,clear sky,-25.1667,45.05,
295,Kapoeta,SS,83.95,light rain,4.7717,33.5903,Eastgate Hotel
298,Manuk Mangkaw,PH,84.22,scattered clouds,4.8,119.85,
301,Namie,JP,83.71,broken clouds,37.4833,141.0,いこいの村なみえ
303,Acarau,BR,82.44,overcast clouds,-2.8856,-40.12,castelo pizzaria
308,Panaba,MX,75.29,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
309,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
310,Bua Yai,TH,78.46,overcast clouds,15.5855,102.4259,Rabiang Mai Resort
312,Biak,ID,76.71,broken clouds,-0.9131,122.8766,Penginapan Kim
313,Wau,SS,86.18,light rain,7.7029,27.9953,Universal Gab Hotel
322,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
323,Inhambane,MZ,77.81,clear sky,-23.865,35.3833,Oceano
324,Qadian,IN,77.13,overcast clouds,31.8178,75.3919,Europe Guest House
326,Odienne,CI,81.05,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
330,Komsomolskiy,UZ,88.52,few clouds,40.4272,71.7189,Ikathouse
332,Fukue,JP,83.53,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
345,Susehri,TR,88.29,clear sky,40.1644,38.0867,Su Vadi Hotel
349,Varna,BG,88.88,scattered clouds,43.2167,27.9167,Golden Tulip Varna
350,Sao Filipe,CV,78.8,scattered clouds,14.8961,-24.4956,Hotel Xaguate
352,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
354,Ubata,BR,78.06,scattered clouds,-14.2139,-39.5228,Pousada Caique
355,Anori,BR,78.12,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
358,Penzance,GB,85.32,clear sky,50.1186,-5.5371,Artist Residence Penzance
359,Margate,GB,85.1,clear sky,51.3813,1.3862,Premier Inn Margate hotel
361,Kirakira,SB,78.35,overcast clouds,-10.4544,161.9205,SanBiz Lodge
363,Kaseda,JP,82.89,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
368,Samarai,PG,78.98,overcast clouds,-10.6167,150.6667,Nuli Sapi
372,Portobelo,PA,76.96,overcast clouds,9.55,-79.65,Scuba Portobelo
375,Sinnamary,GF,78.37,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
377,Pandan,PH,81.12,scattered clouds,14.0453,124.1694,Bonifacio Lodge
380,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
